"Step","DQN_EQL_CliffWalking_19 - eval/avg_reward","DQN_EQL_CliffWalking_19 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_19 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_18 - eval/avg_reward","DQN_EQL_CliffWalking_18 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_18 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_17 - eval/avg_reward","DQN_EQL_CliffWalking_17 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_17 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_16 - eval/avg_reward","DQN_EQL_CliffWalking_16 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_16 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_15 - eval/avg_reward","DQN_EQL_CliffWalking_15 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_15 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_14 - eval/avg_reward","DQN_EQL_CliffWalking_14 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_14 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_13 - eval/avg_reward","DQN_EQL_CliffWalking_13 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_13 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_12 - eval/avg_reward","DQN_EQL_CliffWalking_12 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_12 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_11 - eval/avg_reward","DQN_EQL_CliffWalking_11 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_11 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_10 - eval/avg_reward","DQN_EQL_CliffWalking_10 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_10 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_9 - eval/avg_reward","DQN_EQL_CliffWalking_9 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_9 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_8 - eval/avg_reward","DQN_EQL_CliffWalking_8 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_8 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_7 - eval/avg_reward","DQN_EQL_CliffWalking_7 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_7 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_6 - eval/avg_reward","DQN_EQL_CliffWalking_6 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_6 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_5 - eval/avg_reward","DQN_EQL_CliffWalking_5 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_5 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_4 - eval/avg_reward","DQN_EQL_CliffWalking_4 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_4 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_3 - eval/avg_reward","DQN_EQL_CliffWalking_3 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_3 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_2 - eval/avg_reward","DQN_EQL_CliffWalking_2 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_2 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_1 - eval/avg_reward","DQN_EQL_CliffWalking_1 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_1 - eval/avg_reward__MAX","DQN_EQL_CliffWalking_0 - eval/avg_reward","DQN_EQL_CliffWalking_0 - eval/avg_reward__MIN","DQN_EQL_CliffWalking_0 - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"300","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"600","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"900","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1200","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"1800","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2400","-100","-100","-100","-100","-100","-100","-105","-105","-105","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2700","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
